0,0
신내동,1.4162202331958365
문래동3가,1.260273492286115
옥수동,1.3192547153631695
휘경동,1.1401018430895407
답십리동,1.3129298492417432
신길동,2.07476297229244
고척동,1.205862974228722
방학동,1.4480266666666664
가양동,1.2862471745269903
방배동,1.233963841490094
묵동,1.0743740096003227
풍납동,1.2076489461167514
흑석동,1.4806175302819604
신당동,1.1448159046512203
이촌동,1.2609877189361158
개포동,1.0426276190493622
노량진동,1.1250059822924143
월계동,1.5013973577235766
상도동,1.3441455050706872
사당동,1.2650890677252125
봉천동,1.3389177164284698
남가좌동,1.3385235090721141
신사동,1.5973925631588117
응암동,1.3760325492341365
신림동,1.2269294369208843
잠실동,1.2866919269409893
한남동,0.35333552675477276
금호동4가,1.3251514559312096
오류동,1.1471094946401235
삼성동,0.7154200847139565
하월곡동,1.3874913560571722
금호동3가,1.5300403445643882
천호동,1.0901485071933177
문정동,1.1288979482392205
방이동,1.1872719729837666
도곡동,1.2490038410632351
신대방동,1.2961684026420413
명일동,1.502281382129661
신공덕동,1.2887533342078794
정릉동,1.2760709450932715
압구정동,1.1737032271958134
상암동,1.1877810513257872
제기동,1.429384624603032
방화동,1.299694677770137
염창동,1.305486851368442
창동,1.3207285054951132
길음동,1.374712179919724
장안동,1.1103397972047788
진관동,1.2245247755145472
도화동,1.062135393274503
구의동,1.283886069202068
당산동4가,1.3698846670057971
행당동,1.4398399606607217
신월동,1.337066779374472
광장동,1.521435735555953
중계동,1.1695314992772736
잠원동,1.2273532242916751
청량리동,1.1331937363437727
오금동,1.136719661703469
암사동,1.3921793617569647
본동,1.2747003154574135
여의도동,1.3053718506175098
상계동,1.3439326748110079
반포동,1.1346965862669711
등촌동,1.107750575337397
신정동,1.106129701608208
홍제동,1.2500094359325347
청담동,0.9767222625090648
구로동,0.8693621137101373
일원동,1.4064380026312269
무악동,1.3779952581819892
대치동,1.2277621920199513
역삼동,0.9042889174005659
응봉동,1.2613061846388254
논현동,1.127459151591602
길동,1.310295880237833
자양동,1.3059977054474383
가락동,1.3105695536107487
송파동,1.27244250056003
연희동,0.615154639175258
화곡동,1.1873147434259599
북가좌동,1.3445066471945017
하왕십리동,1.1857185584483003
갈현동,1.364931457754682
목동,1.04376749196151
당산동5가,1.3302042369656235
상봉동,1.1304852602856994
서교동,1.1243295190416607
신천동,1.2456123560601682
성내동,1.1034890069507153
수유동,0.77103902209685
이문동,1.1255176865016043
공릉동,1.27146168786417
망원동,1.2317159570399452
성수동1가,2.171138513063501
둔촌동,0.8892538646612214
돈암동,1.4183845270603916
미아동,1.3948786614981712
전농동,1.3440980438198797
공덕동,1.3760492360190728
개봉동,1.629647786986963
성수동2가,1.2443693693693705
구산동,1.018910655644888
하계동,1.3130628805680347
서초동,1.0356892418861832
시흥동,1.2160045564573552
신도림동,1.3961196014569568
불광동,1.608063707746282
금호동1가,1.6568238213399507
수색동,1.7371794871794881
홍은동,1.4359021058622656
우면동,0.9262508581880312
종암동,1.1125805249427676
